 ilc,situacao,,
198.6,ils,,
173.5,ils,,
146,ils,,
113.9,ils,,
202.25,BRKGA+AF8-CHAVES,,
177.28,BRKGA+AF8-CHAVES,,
149.35,BRKGA+AF8-CHAVES,,
116.94,BRKGA+AF8-CHAVES,,
,,25.9,ils
,,18.215,ils
,,29.235,ils
,,20.6,ils
,,21.67,ils
,,35.1,ils
,,25.4,ils
,,36.255,ils
,,26.15,ils
,,15.9,ils
,,21.61,ils
,,22.6,ils
,,26.67,ils
,,25,ils
,,25.5,ils
,,26.1,BRKGA+AF8-CHAVES
,,18.2,BRKGA+AF8-CHAVES
,,29.3,BRKGA+AF8-CHAVES
,,20.6,BRKGA+AF8-CHAVES
,,21.67,BRKGA+AF8-CHAVES
,,35.1,BRKGA+AF8-CHAVES
,,25.4,BRKGA+AF8-CHAVES
,,36.25,BRKGA+AF8-CHAVES
,,26.15,BRKGA+AF8-CHAVES
,,15.9,BRKGA+AF8-CHAVES
,,21.6,BRKGA+AF8-CHAVES
,,22.6,BRKGA+AF8-CHAVES
,,26.6,BRKGA+AF8-CHAVES
,,25,BRKGA+AF8-CHAVES
,,25.5,BRKGA+AF8-CHAVES
