intancia, trocas
L1-1,20
L1-2,20
L1-3,20
L1-4,20
L1-5,23
L1-6,29
L1-7,19
L1-8,23
L1-9,21
L1-10,21
L2-1,15
L2-2,15
L2-3,15
L2-4,15
L2-5,15
L2-6,15
L2-7,15
L2-8,15
L2-9,15
L2-10,15
L3-1,17
L3-2,24
L3-3,16
L3-4,18
L3-5,18
L3-6,22
L3-7,20
L3-8,27
L3-9,16
L3-10,18
L4-1,20
L4-2,26
L4-3,25
L4-4,22
L4-5,25
L4-6,29
L4-7,24
L4-8,25
L4-9,27
L4-10,25
L5-1,22
L5-2,24
L5-3,25
L5-4,29
L5-5,25
L5-6,24
L5-7,27
L5-8,26
L5-9,27
L5-10,27
L6-1,20
L6-2,20
L6-3,20
L6-4,20
L6-5,20
L6-6,20
L6-7,20
L6-8,19
L6-9,20
L6-10,20
L7-1,30
L7-2,33
L7-3,26
L7-4,31
L7-5,25
L7-6,30
L7-7,37
L7-8,34
L7-9,27
L7-10,25
L8-1,38
L8-2,38
L8-3,34
L8-4,34
L8-5,32
L8-6,35
L8-7,37
L8-8,35
L8-9,36
L8-10,36
L9-1,20
L9-2,20
L9-3,20
L9-4,20
L9-5,20
L9-6,20
L9-7,20
L9-8,20
L9-9,20
L9-10,20
L10-1,23
L10-2,20
L10-3,20
L10-4,20
L10-5,20
L10-6,22
L10-7,20
L10-8,22
L10-9,21
L10-10,20
L11-1,26
L11-2,25
L11-3,25
L11-4,25
L11-5,28
L11-6,29
L11-7,34
L11-8,28
L11-9,25
L11-10,28
L12-1,21
L12-2,23
L12-3,23
L12-4,21
L12-5,21
L12-6,21
L12-7,21
L12-8,22
L12-9,22
L12-10,23
L13-1,29
L13-2,28
L13-3,23
L13-4,27
L13-5,28
L13-6,28
L13-7,35
L13-8,27
L13-9,29
L13-10,24
L14-1,38
L14-2,34
L14-3,35
L14-4,34
L14-5,35
L14-6,36
L14-7,34
L14-8,39
L14-9,34
L14-10,35
L15-1,33
L15-2,33
L15-3,30
L15-4,28
L15-5,33
L15-6,34
L15-7,33
L15-8,31
L15-9,36
L15-10,34
L16-1,25
L16-2,25
L16-3,25
L16-4,25
L16-5,25
L16-6,25
L16-7,25
L16-8,25
L16-9,25
L16-10,25
L17-1,33
L17-2,35
L17-3,31
L17-4,37
L17-5,35
L17-6,35
L17-7,43
L17-8,33
L17-9,42
L17-10,38
L18-1,48
L18-2,54
L18-3,43
L18-4,45
L18-5,41
L18-6,47
L18-7,38
L18-8,40
L18-9,42
L18-10,42
L19-1,25
L19-2,25
L19-3,25
L19-4,25
L19-5,25
L19-6,25
L19-7,25
L19-8,25
L19-9,25
L19-10,25
L20-1,25
L20-2,25
L20-3,28
L20-4,28
L20-5,26
L20-6,27
L20-7,26
L20-8,28
L20-9,25
L20-10,26
L21-1,40
L21-2,41
L21-3,28
L21-4,34
L21-5,34
L21-6,33
L21-7,31
L21-8,33
L21-9,36
L21-10,29
L22-1,28
L22-2,28
L22-3,27
L22-4,28
L22-5,30
L22-6,28
L22-7,32
L22-8,28
L22-9,30
L22-10,28
L23-1,38
L23-2,37
L23-3,45
L23-4,35
L23-5,41
L23-6,42
L23-7,40
L23-8,36
L23-9,41
L23-10,40
L24-1,50
L24-2,51
L24-3,55
L24-4,51
L24-5,51
L24-6,50
L24-7,54
L24-8,51
L24-9,48
L24-10,48
L25-1,25
L25-2,25
L25-3,25
L25-4,25
L25-5,25
L25-6,25
L25-7,25
L25-8,25
L25-9,25
L25-10,25
L26-1,25
L26-2,25
L26-3,25
L26-4,25
L26-5,25
L26-6,25
L26-7,25
L26-8,25
L26-9,25
L26-10,25
L27-1,26
L27-2,25
L27-3,26
L27-4,25
L27-5,27
L27-6,25
L27-7,28
L27-8,27
L27-9,27
L27-10,27
L28-1,25
L28-2,31
L28-3,34
L28-4,28
L28-5,26
L28-6,25
L28-7,28
L28-8,26
L28-9,29
L28-10,30
L29-1,25
L29-2,25
L29-3,25
L29-4,25
L29-5,25
L29-6,25
L29-7,25
L29-8,25
L29-9,25
L29-10,25
L30-1,30
L30-2,26
L30-3,26
L30-4,25
L30-5,25
L30-6,27
L30-7,28
L30-8,25
L30-9,27
L30-10,27
L31-1,34
L31-2,30
L31-3,37
L31-4,30
L31-5,30
L31-6,26
L31-7,30
L31-8,35
L31-9,30
L31-10,29
L32-1,30
L32-2,30
L32-3,29
L32-4,29
L32-5,29
L32-6,30
L32-7,29
L32-8,31
L32-9,29
L32-10,29
L33-1,35
L33-2,39
L33-3,33
L33-4,36
L33-5,38
L33-6,42
L33-7,33
L33-8,41
L33-9,38
L33-10,35
L34-1,42
L34-2,41
L34-3,40
L34-4,45
L34-5,45
L34-6,41
L34-7,43
L34-8,46
L34-9,41
L34-10,45
