"N_ILS_LS_PART_2OPT_1";"N_ILS_LS_PART_2OPT_2";"N_ILS_LS_PART_2OPT_3";"N_ILS_LS_PART_2OPT_4";"N_ILS_LS_PART_2OPT_5";"N_ILS_LS_PART_2OPT_6";"N_ILS_LS_PART_2OPT_7";"N_ILS_LS_PART_2OPT_8";"N_ILS_LS_PART_2OPT_9";"N_ILS_LS_PART_2OPT_10";"N_ILS_LS_PART_2OPT_11";"N_ILS_LS_PART_2OPT_12";"N_ILS_LS_PART_2OPT_13";"N_ILS_LS_PART_2OPT_14";"N_ILS_LS_PART_2OPT_15";"N_ILS_LS_PART_2OPT_16";"N_ILS_LS_PART_2OPT_17";"N_ILS_LS_PART_2OPT_18";"N_ILS_LS_PART_2OPT_19";"N_ILS_LS_PART_2OPT_20";"min";"mean";"sd"
0.06;0.1;0.1;0.08;0.07;0.07;0.14;0.1;0.08;0.07;0.05;0.07;0.07;0.07;0.08;0.08;0.1;0.11;0.08;0.04;0.04;0.081;0.0224546326248235
0.16;0.1;0.12;0.06;0.25;0.07;0.15;0.19;0.19;0.14;0.18;0.12;0.16;0.13;0.24;0.06;0.22;0.2;0.17;0.18;0.06;0.1545;0.0552958549888449
0.12;0.05;0.23;0.18;0.23;0.14;0.11;0.17;0.22;0.18;0.16;0.11;0.2;0.28;0.26;0.12;0.09;0.11;0.17;0.17;0.05;0.165;0.0598682764602071
0.06;0.05;0.12;0.15;0.11;0.33;0.11;0.15;0.1;0.15;0.04;0.14;0.22;0.09;0.05;0.06;0.07;0.07;0.18;0.13;0.04;0.119;0.0691223172126203
0.08;0.06;0.12;0.14;0.06;0.11;0.07;0.06;0.08;0.09;0.16;0.11;0.09;0.08;0.07;0.06;0.14;0.13;0.09;0.16;0.06;0.098;0.0336545922415852
0.14;0.1;0.11;0.07;0.17;0.13;0.24;0.21;0.17;0.21;0.26;0.11;0.18;0.22;0.22;0.14;0.19;0.09;0.24;0.4;0.07;0.18;0.0758807929376209
0.06;0.1;0.05;0.12;0.11;0.04;0.06;0.05;0.15;0.11;0.05;0.05;0.09;0.05;0.28;0.13;0.08;0.07;0.1;0.14;0.04;0.0945;0.0552958549888449
0.73;0.67;0.61;0.66;0.7;0.92;0.96;1;0.75;0.65;0.91;0.88;0.99;0.62;0.69;0.82;0.94;0.71;0.96;0.9;0.61;0.8035;0.136700787353833
0.12;0.12;0.05;0.14;0.08;0.08;0.13;0.09;0.07;0.08;0.09;0.17;0.15;0.16;0.09;0.13;0.12;0.11;0.2;0.11;0.05;0.1145;0.0373426523456828
0.06;0.04;0.06;0.04;0.11;0.07;0.06;0.09;0.08;0.06;0.05;0.07;0.06;0.15;0.15;0.05;0.18;0.12;0.07;0.08;0.04;0.0825;0.0394535036133475
1.44;0.68;0.72;1.39;0.47;1.46;0.67;1.91;0.89;0.61;0.59;0.44;0.89;1.03;1.66;0.79;0.93;1.12;0.97;0.32;0.32;0.949;0.430738655652919
0.19;0.21;0.2;0.24;0.18;0.23;0.39;0.14;0.21;0.19;0.18;0.19;0.39;0.14;0.16;0.26;0.3;0.19;0.37;0.35;0.14;0.2355;0.0810116950621458
3.01;0.61;0.96;1.41;1.54;1.53;0.51;2.28;2.07;0.99;2.81;1.15;1.17;1.31;0.63;0.77;1.82;1.07;1.52;1.31;0.51;1.4235;0.689319076679069
0.05;0.05;0.06;0.05;0.05;0.05;0.05;0.06;0.06;0.05;0.06;0.06;0.05;0.05;0.06;0.06;0.06;0.06;0.06;0.05;0.05;0.055;0.00512989176042577
0.2;0.15;0.32;0.23;0.25;0.16;0.16;0.25;0.26;0.35;0.15;0.17;0.15;0.17;0.23;0.14;0.19;0.19;0.2;0.14;0.14;0.203;0.0593916527893662
