instancias, trocas
L1-1,15
L1-2,13
L1-3,12
L1-4,13
L1-5,14
L1-6,14
L1-7,13
L1-8,14
L1-9,13
L1-10,14
L2-1,10
L2-2,12
L2-3,11
L2-4,12
L2-5,10
L2-6,12
L2-7,12
L2-8,11
L2-9,11
L2-10,11
L3-1,10
L3-2,10
L3-3,10
L3-4,10
L3-5,10
L3-6,11
L3-7,10
L3-8,10
L3-9,11
L3-10,11
L4-1,10
L4-2,10
L4-3,10
L4-4,10
L4-5,10
L4-6,10
L4-7,10
L4-8,10
L4-9,10
L4-10,10
L5-1,28
L5-2,23
L5-3,25
L5-4,25
L5-5,23
L5-6,23
L5-7,30
L5-8,38
L5-9,28
L5-10,31
L6-1,20
L6-2,24
L6-3,20
L6-4,25
L6-5,25
L6-6,21
L6-7,20
L6-8,23
L6-9,22
L6-10,23
L7-1,20
L7-2,20
L7-3,20
L7-4,20
L7-5,20
L7-6,20
L7-7,20
L7-8,20
L7-9,23
L7-10,20
L8-1,20
L8-2,20
L8-3,20
L8-4,21
L8-5,20
L8-6,20
L8-7,20
L8-8,20
L8-9,21
L8-10,20
